"","All.TMB","Coding.TMB","Expressed.NAg","CIN.Prop","HLA.LOH","HRD.LOH","HRD.TelomericAI","HRD.LST","HRD.sum","COL12A1","COL5A1","DNAH5","GATA3","HMCN1","MACF1","MAP3K1","MT-CO1","MT-CYB","MT-ND1","MT-ND4","MT-ND5","MUC16","MYO3A","NEB","PIK3CA","RYR1","RYR2","SPTA1","SYNE1","TP53","TTN"
"T001",170,92,88,0.2652333931982,0,4,13,3,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"T002",146,74,28,0.421996677064797,0,16,22,25,63,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"T003",97,43,24,0.333720697089012,0,8,14,2,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"T004",124,62,35,0.507514222745914,1,11,22,6,39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"T005",116,57,6,0.377767765808399,0,10,15,3,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"T006",24,18,13,0.0688568828905151,0,2,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"T007",32,18,12,0.296583560492115,0,11,8,0,19,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"T008",26,16,1,0.212748889290239,0,8,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T009",308,167,145,0.355656024187122,1,8,15,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1
"T010",105,57,13,0.334893786632543,0,6,19,1,26,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"T011",156,67,23,0.673919832098785,0,9,20,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"T012",181,93,42,0.473926785370735,1,15,21,25,61,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
"T013",119,72,52,0.561616797089734,0,12,20,6,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"T014",255,109,29,0.276010595311323,0,5,17,1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"T015",176,91,42,0.550599701454539,0,3,14,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"T016",54,31,23,0.418673297883981,1,3,9,1,13,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"T017",17,8,8,0.232726628762321,1,8,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T018",7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T020",34,14,26,0.228384328602758,0,5,8,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T022",68,37,13,0.650973465670989,0,3,13,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"T023",39,23,16,0.123287647471806,0,1,4,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"T024",67,40,17,0.61243978075856,0,4,17,4,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"T025",73,41,10,0.545675690789294,0,7,14,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"T026",136,68,48,0.57510388529658,0,11,18,14,43,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2
"T028",280,137,42,0.519706488078409,0,7,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
"T029",76,42,8,0.130659657602272,0,7,14,2,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"T030",41,18,19,0.332522720897843,0,8,12,1,21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T031",13,5,2,0.201884108285524,0,8,8,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T032",262,114,44,0.618032381483344,1,20,29,16,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,1,3
"T033",222,117,41,0.523986142365878,0,21,21,20,62,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"T035",94,50,34,0.543956846475291,0,11,22,6,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"T036",256,126,25,0.622005744016117,0,13,19,27,59,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,2,1,0
"T037",153,78,30,0.397072921288104,0,8,25,7,40,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"T038",155,85,20,0.710992106060834,0,10,23,3,36,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"T039",36,25,11,0.0931785223512233,0,1,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"T040",97,61,16,0.413027760864626,0,9,26,2,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"T041",71,35,17,0.319682637277792,0,8,15,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"T042",79,42,38,0.417145776331818,0,10,22,16,48,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
