"","STAT1.gsva","GGI.gsva","CytScore.log2","TIDE.Dysfunction","TIDE.Exclusion","TIDE.MDSC","TIDE.CAF","TIDE.TAM.M2","TIDE.IFNG","TIDE.CD274","TIDE.CD8","Danaher.B.cells","Danaher.CD45","Danaher.CD8.T.cells","Danaher.Cytotoxic.cells","Danaher.DC","Danaher.Exhausted.CD8","Danaher.Macrophages","Danaher.Mast.cells","Danaher.Neutrophils","Danaher.NK.CD56dim.cells","Danaher.NK.cells","Danaher.T.cells","Danaher.Th1.cells","Danaher.Treg","B2M","TAP1","TAP2","HLA.A","HLA.B","HLA.C","HLA.DPA1","HLA.DPB1","HLA.E","HLA.F","PD.1","CTLA.4","LAG3","TIGIT","TIM3","PD.L1","PD.L2","CD27","ICOS","IDO1","Act.CD4","Act.CD8","Tem.CD4","Tem.CD8","MDSC","Treg","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","NK.cells","B.lineage","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","ECM.associated_HM.et.a.gsva","Immune.response_HM.et.a.gsva","Proliferation_HM.et.a.gsva"
"T001",-0.181,0.319,2.066,0.27,-0.7,0.04,-0.14,0,-2.07,-1.29,-1.75,-2.05,2.29,1.42,0.66,-0.603,0.608,-0.715,2.74,-0.151,-7.599,-1.381,0.667,-0.101,1.561,4.9122,2.87492,1.07754,4.82698,4.94053,4.91248,2.92701,3.02751,3.84341,2.542,0.1255,0.10701,-1.06235,0.11475,-1.08685,-0.14528,-0.12259,0.70619,-0.1006,-0.36002,0.85189,1.26006,0.73617,1.00433,-1.86016,-0.76241,-0.1352,0.604,0.512,-2.49125,-0.690125,3.702857,-1.7188,1.5944,2.518091,7.669,0.420017978821924,0.17104214821472,0.164640002966695
"T002",0.613,0.355,5.352,0.33,-0.36,0.01,-0.07,0,0.1,-0.62,0.85,2.704,5.017,4.422,4.013,2.561,2.439,2.536,3.038,-1.198,-3.372,1.858,3.736,2.124,2.655,5.23849,2.78337,1.26691,4.62992,4.91237,4.41089,3.82614,3.8955,4.38732,2.53665,-1.1878,-0.85125,-1.04186,-1.00239,-1.51155,-0.45691,-1.15474,2.30395,0.89138,-1.41001,1.45063,1.93873,1.07114,1.56102,-1.99281,-1.05759,2.542567,3.8147,3.03552,0.20435,3.62805,4.552586,1.52566,0.372707,4.094539,8.933412,0.121390332483955,0.51670791280439,0.266343697082094
"T003",0.616,0.309,6.467,0.91,-2.25,-0.07,-0.22,-0.05,1.11,0.59,1.77,2.123,5.492,5.366,5.183,1.367,3.906,2.776,1.236,0.133,-2.714,2.677,4.089,3.553,3.767,5.02682,3.72125,1.88228,5.33453,5.4716,5.07914,3.47119,3.66269,4.72446,3.17169,-1.90326,-1.21,-2.03039,-1.28025,-1.78802,-0.9584,-0.91578,2.5121,0.80119,-1.60873,1.25802,1.89299,0.91451,1.52385,-2.20074,-1.23655,2.59536,3.9231,3.86482,0.41745,3.000925,5.000771,0.66784,0.913913,3.179967,6.886913,-0.23446896938405,0.540282011396201,-0.160562115107456
"T004",0.612,0.469,4.589,0.33,-0.71,0.02,-0.04,-0.09,1.3,0.77,0.39,1.893,5.031,3.928,3.687,3.138,3.103,2.71,2.699,0.277,-3.491,1.256,3.543,2.43,4.79,5.16276,3.47011,1.94656,4.8207,5.06798,4.63258,3.48823,3.6157,4.08192,2.92513,-1.14621,-1.46498,-1.74792,-1.11701,-1.73799,-1.08518,-1.19764,1.88486,1.28942,-2.77915,1.60713,1.80792,1.04281,1.57157,-2.18712,-1.5465,2.609693,2.6778,2.72,-0.903975,1.696287,5.2666,2.0641,0.643713,3.03343,8.863437,-0.443264789735673,0.750760873868402,0.342563522140053
"T005",-0.48,0.556,3.423,-0.37,0.46,0.09,-0.08,0.06,-1.94,-1.65,-0.23,-0.79,3.165,3.263,2.03,0.792,0.743,0.952,2.55,-3.129,-7.128,-0.491,2.226,0.738,2.167,4.2229,2.15734,0.8903,4.02621,4.13535,4.35193,2.40676,2.65596,3.71449,1.72077,-0.06311,-0.12769,-0.33117,-0.28976,-0.83365,0.10323,-0.35258,1.18891,0.11819,-0.36726,1.04093,1.47382,0.86693,1.01213,-1.38088,-0.70074,1.247327,2.5572,1.16608,-2.12525,0.249512,3.102743,-0.28074,-0.753753,2.734724,8.376238,0.374850279541084,-0.511618021307462,0.335450703228984
"T006",-0.675,-0.393999999999999,1.941,0.5,0.75,0.02,0.06,0.06,-3.08,-1.97,-2.21,-2.046,2.569,0.743,0.849,0.788,0.232,1.116,4.301,-3.371,-4.758,-1.549,0.777,-1.126,1.986,4.58999,2.04149,0.58459,4.48259,4.67119,4.53827,3.08066,3.37794,3.65068,1.54187,0.08861,-0.06698,-0.24792,0.171,-0.96464,0.2594,-0.44065,0.833,-0.2619,0.254,0.6464,1.12031,1.05105,1.0478,-1.38787,-1.0151,0.160947,-0.1509,-0.15458,-1.86775,-0.673963,3.154686,-0.9623,0.268167,3.670167,9.290038,0.415509592576256,-0.716324661380963,-0.433984919360873
"T007",-0.111999999999999,-0.226,3.654,1.05,-1.31,-0.03,-0.17,0.02,-1.42,-1.04,-0.11,2.052,4.133,3.393,2.522,1.328,1.586,1.379,3.042,-1.938,-4.015,1.526,2.843,1.782,3.326,4.43602,2.48232,1.04573,4.24536,4.43896,4.06492,2.98886,3.28155,3.84214,2.21342,-0.73779,-0.37634,-0.72605,-0.56383,-0.98133,-0.22945,-0.32501,1.92991,0.19967,-0.64315,1.0477,1.70399,0.85052,1.30613,-2.00193,-0.78227,1.890513,2.5324,1.93592,-1.019325,3.463437,4.403757,1.33164,1.672713,3.081152,7.600925,0.301016460854543,-0.242762304091872,-0.308747919094263
"T008",0.616,-0.526,5.98,1.7,-0.27,-0.07,0.06,-0.02,0.71,0.11,1.65,2.506,5.458,5.257,4.783,4.378,3.294,2.645,2.824,-1.76,-0.969,2.905,4.479,2.841,4.554,5.63177,3.11468,1.75403,5.1239,5.40247,4.97787,4.03834,4.24862,4.78931,3.0949,-1.44485,-1.91063,-1.2473,-1.50408,-1.66911,-0.85416,-1.37899,2.52887,1.35837,-2.02465,1.38071,2.10384,1.20242,1.75954,-2.22371,-1.4311,3.473413,4.6224,4.7539,0.81215,4.114262,4.735543,3.4127,1.533753,5.333188,9.551813,0.439009972572504,0.49019342166162,-0.532594910723818
"T009",-0.393999999999999,-0.278999999999999,3.824,1.11,0.83,0.02,0.08,0.06,-1.47,-1.2,-0.36,1.35,4.137,3.113,2.799,1.671,1.611,1.572,4.886,-2.191,-4.258,0.792,2.991,1.279,4.117,4.43529,2.16633,0.8984,4.32062,4.52366,4.59111,2.9637,3.44404,3.9706,2.2006,-0.46006,-0.51344,-0.31338,-0.4958,-1.03208,-0.09111,-0.40677,1.80048,0.27194,-0.33697,0.95088,1.5414,1.05025,1.35048,-1.69851,-0.99682,1.977493,2.0008,1.9192,-0.5018,1.64805,3.726471,2.22428,0.945447,3.830539,9.886138,0.448708572740559,-0.70251336153555,-0.510379026627684
"T010",0.048,-0.529,3.181,1.1,0.4,-0.05,0.14,0,-1.01,-0.87,-1.25,-1.286,3.906,2.051,1.78,0.556,1.924,2.71,3.996,-0.133,-6.754,-3.285,1.471,0.743,3.058,4.88038,2.48674,0.77549,4.67047,4.78337,4.66125,3.5661,3.79066,4.02215,2.12894,-0.21226,-0.29542,-1.197,-0.17163,-1.78858,-0.27071,-0.85508,1.12367,0.07538,-0.77851,0.7144,1.34444,1.07914,1.39201,-1.87964,-1.12802,0.639373,0.6813,0.927,-3.181,-0.624712,4.622143,-0.55604,0.942273,3.614509,9.867625,0.492481298193998,-0.074712738509245,-0.613084633770182
